syn1	syn2
09610405-n	n:person
09610660-n	n:person
09613191-n	n:person
09614047-n	n:person
09614315-n	n:person
09615465-n	n:person
09615807-n	n:person
09616922-n	n:person
09617696-n	n:person
09617867-n	n:person
09618957-n	n:person
09619168-n	n:person
09619824-n	n:person
09620078-n	n:person
09620794-n	n:person
09621232-n	n:person
09621359-n	n:person
09621545-n	n:person
09622049-n	n:person
09622302-n	n:person
09622928-n	n:person
09623038-n	n:person
09624168-n	n:person
09624980-n	n:person
09625401-n	n:person
09625789-n	n:person
09626031-n	n:person
09626238-n	n:person
09626589-n	n:person
09627017-n	n:person
09627117-n	n:person
09627462-n	n:person
09628382-n	n:person
09629246-n	n:person
09629752-n	n:person
09630641-n	n:person
09631129-n	n:person
09632274-n	n:person
09632518-n	n:person
09634494-n	n:person
09636106-n	n:person
09638875-n	n:person
09644820-n	n:person
09676884-n	n:person
09679170-n	n:person
09681351-n	n:person
09752246-n	n:person
09752381-n	n:person
09752519-n	n:person
09752657-n	n:person
09752795-n	n:person
09752927-n	n:person
09753065-n	n:person
09753204-n	n:person
09753348-n	n:person
09753498-n	n:person
09753642-n	n:person
09753792-n	n:person
09754051-n	n:person
09754541-n	n:person
09756961-n	n:person
09757944-n	n:person
09762821-n	n:person
09763784-n	n:person
09764201-n	n:person
09764900-n	n:person
09767197-n	n:person
09769636-n	n:person
09771664-n	n:person
09772330-n	n:person
09773245-n	n:person
09774167-n	n:person
09774783-n	n:person
09776261-n	n:person
09779124-n	n:person
09781650-n	n:person
09786585-n	n:person
09793141-n	n:person
09796809-n	n:person
09796974-n	n:person
09801102-n	n:person
09802445-n	n:person
09804230-n	n:person
09810364-n	n:person
09815076-n	n:person
09817536-n	n:person
09819860-n	n:person
09824609-n	n:person
09825413-n	n:person
09825519-n	n:person
09828403-n	n:person
09828600-n	n:person
09831856-n	n:person
09831962-n	n:person
09833896-n	n:person
09833997-n	n:person
09836160-n	n:person
09843602-n	n:person
09845401-n	n:person
09846265-n	n:person
09850457-n	n:person
09851165-n	n:person
09856671-n	n:person
09857852-n	n:person
09860415-n	n:person
09860506-n	n:person
09861287-n	n:person
09862845-n	n:person
09864536-n	n:person
09877856-n	n:person
09883452-n	n:person
09890749-n	n:person
09893502-n	n:person
09898892-n	n:person
09899289-n	n:person
09900711-n	n:person
09902954-n	n:person
09903936-n	n:person
09906449-n	n:person
09910374-n	n:person
09918554-n	n:person
09921673-n	n:person
09930464-n	n:person
09931267-n	n:person
09936620-n	n:person
09939313-n	n:person
09947127-n	n:person
09950457-n	n:person
09951274-n	n:person
09960315-n	n:person
09962414-n	n:person
09964411-n	n:person
09969491-n	n:person
09970088-n	n:person
09976119-n	n:person
09976429-n	n:person
09976728-n	n:person
09978889-n	n:person
09990415-n	n:person
09994943-n	n:person
09996481-n	n:person
09997212-n	n:person
09997622-n	n:person
10000007-n	n:person
10000616-n	n:person
10001058-n	n:person
10001647-n	n:person
10009926-n	n:person
10012377-n	n:person
10012815-n	n:person
10016954-n	n:person
10018021-n	n:person
10019888-n	n:person
10024362-n	n:person
10027246-n	n:person
10033225-n	n:person
10033663-n	n:person
10036266-n	n:person
10040617-n	n:person
10042845-n	n:person
10044682-n	n:person
10046527-n	n:person
10050712-n	n:person
10052843-n	n:person
10055730-n	n:person
10058411-n	n:person
10059162-n	n:person
10065547-n	n:person
10072708-n	n:person
10074841-n	n:person
10075899-n	n:person
10076778-n	n:person
10080337-n	n:person
10086074-n	n:person
10093396-n	n:person
10099375-n	n:person
10109662-n	n:person
10112591-n	n:person
10115082-n	n:person
10117511-n	n:person
10117739-n	n:person
10118844-n	n:person
10122128-n	n:person
10122300-n	n:person
10138369-n	n:person
10138767-n	n:person
10143725-n	n:person
10146927-n	n:person
